id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,وقد تم أخذ هذه التعليقات في الاعتبار عند صياغة القواعد المؤقتة.,تم وضع القواعد التي تم وضعها في غضون ذلك مع وضع هذه التعليقات في الاعتبار.,ar,Arabic,0
5b72532a0b,สิ่งเหล่านี้เป็นประเด็นที่เราต่อสู้กับกลุ่ม บริษัท กฎหมายในทางปฏิบัติเธอกล่าว,กลุ่มฝึกปฏิบัติไม่ได้รับอนุญาตให้ทำงานในประเด็นเหล่านี้,th,Thai,2
5622f0c60b,คุณรู้ว่าพวกเขาไม่สามารถปกป้องตัวเองได้เหมือนคนที่โตแล้วเอ่อบอกอายุของฉันคุณก็รู้ใช่,พวกเขาไม่สามารถป้องกันตัวเองได้เนื่องจากอายุมาก,th,Thai,0
fdcd1bd867,从驾驶舱国家到圣安湾,从圣安湾到驾驶舱国家。,zh-cn,Chinese,2
7cfb3d272c,"Вижте, това е вашата кожа, но ще имате проблеми, ако не се заемете.","Шефът ще ви уволни, ако ви види как се отпускате.",bg,Bulgarian,1
dd4f0d9f25,"„Ако вие, хората, знаете само колко фатално е лесно да отровите някого по погрешка, нямаше да се шегувате с това.",Много хора са отровили някого по погрешка.,bg,Bulgarian,1
0a3f52c547,"Meine eigene kleine Ecke der Welt, Policy Wonking, ist ein Beispiel.",Ein Beispiel ist Policy Wonking.,de,German,0
4b0eca3ccb,ติดคุกตลอดชีวิตเขาก็โดนทัณฑ์บนถ้าเป็นชีวิตและวันนั้นเขาไม่มีสิทธิ์โดนทัณฑ์บนดังนั้นสิ่งที่คุณรู้มาเลิก BSing กับระบบ,ระบบเสียหายเพราะเขาจะไม่ได้รับทัณฑ์บนหากเป็นชีวิตและวัน,th,Thai,1
cad235551c,تكتظ الشوارع بالباعة الذين يبيعون عروض الأضرحة من الحلويات ، والخثارة ، وجوز الهند ، وكذلك أكاليل الزهور والصور المقدسة.,اصطف الباعة في الشوارع بالمشاعل والنيران.,ar,Arabic,2
d8b3a4fb06,"Βόρεια της Μυτιλήνης, σταματήστε στο χωριό Μοριά, όπου θα βρείτε τα ερείπια ενός τεράστιου ρωμαϊκού υδραγωγείου που περιβάλλεται από βοσκή αιγών.",Δεν υπάρχει τίποτα το ιδιαίτερο να δείτε στο χωριό της Μοριάς.,el,Greek,2
ad5a79456e,موجودہ نسلوں کے ذریعہ بچت میں اضافے سے ملک کا دارالحکومت ذخیرہ وسیع ہوجائے گا ، جس سے مستقبل کی نسلوں کو بہتر طریقے سے ملک کی ریٹائرمنٹ کے اخراجات برداشت کرنے کا موقع ملے گا جبکہ اعلی معیار زندگی سے بھی لطف اندوز ہوں گے۔,موجودہ نسلوں کی بڑھتی ہوئی بچت سے ملک کا سرمایہ ذخیرہ وسیع ہوجائے گا ، اور آنے والی نسلوں کو آسانی سے ملک کی ریٹائرمنٹ کے اخراجات برداشت کرنے کا موقع ملے گا جبکہ اعلی معیار زندگی سے بھی لطف اندوز ہوں گے۔,ur,Urdu,0
a7b0b9498c,"Ειναι μονο η αρχη!""",Ένα υπέροχο ταξίδι πρόκειται να ξεκινήσει!,el,Greek,1
17c1f14619,"Британский бестселлер The Sun в пятницу объявил на первой полосе мировых новостей о том, что техасская модель Джерри Холл начала бракоразводный процесс против стареющей рок-звезды Мика Джаггера в Высоком суде Лондона.",Солнце ежегодно зарабатывает миллионы на фейковых новостях.,ru,Russian,1
f5f4dc48c1,ซาโวนาโรลาเผาในฟลอเรนซ์,ฟลอเรนซ์กลายเป็นบ้านใหม่ของซาโวนาโรลา,th,Thai,2
6a98a077a5,"БУДЕТ КОЛОССАЛЬНО! """,Он будет огромным.,ru,Russian,0
655cc51991,"Казва, че мъжете са тук.","Той каза, че мъжете не са тук.",bg,Bulgarian,2
89fdd6de05,yeah uh-huh oh yeah cưng chiều vườn thú và những thứ,"Có, vuốt ve và những thứ khác.",vi,Vietnamese,0
14fa262750,"Почти в центъра на квартал Масабиел (faubourg de Massabielle), понякога се описва като най-живописния в града.",Кварталът Massabielle се счита за най-фотогеничен.,bg,Bulgarian,0
7e89da4ba3,4) Chưa biết đủ về chi phí vận tải thay đổi theo khoảng cách như thế nào.,Các cách thức mà khoảng cách ảnh hưởng đến chi phí không vận chuyển là một chủ đề mà chúng tôi không có đủ thông tin.,vi,Vietnamese,0
6bb2d551f1,"Изненадан съм обаче, че имаме толкова много, които са тук в политиката","Изненадан съм, че не много от тях са в политиката тук долу.",bg,Bulgarian,2
1589ccaac1,Το σχέδιο συνθήκης ήταν το δόλωμα του Τόμι.,Το δόλωμα της συνθήκης δεν ήταν για τον Τόμι.,el,Greek,2
