id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,en,English,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said.",Practice groups are not permitted to work on these issues.,en,English,2
3931fbe82a,Little things like these make a huge difference in what I try to do.,I was trying to accomplish something.,en,English,0
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,en,English,0
86aaa48b45,"In role playing as well Opportunities to express and play multiple roles simultaneously may help children capture similarities and differences between people in their desires, beliefs, and feelings.",Children can see how different ethnic groups are.,en,English,1
ed7d6a1e62,"You might hear someone on a farm saying we should cut these oxen in the net, which probably means, separate the ones to load.",People on the farm use different terms.,en,English,0
5a0f4908a0,"On his return to the United States, Hajj met at the airport through FBI agents, investigated, and met with Osama bin Laden before the Federal Green Jury the next day.",The Hague was investigated by FBI agents,en,English,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,en,English,1
8c10229663,"Every hundred degrees, the paint spots change color, it can be red and change color to blue.",The paint changes to match the color.,en,English,0
a1971593d5,"We may not have had everything we wanted or seen other people have, but it provided the necessary things we needed.",We had everything we really needed.,en,English,0
2bf4b86d4f,There is twenty percent interest,Could the interest be more than 20?,en,English,1
91b03f6bf4,"If possible, familiarize yourself with the plot in advance.","If you can, try to understand the plot at first.",en,English,0
4c25aa4c06,I hope your lord will finally begin to realize that the foolishness of granting the King's Council to such a person opposes all my suggestions.,Your lord just accepted my opinion and took corresponding action.,en,English,2
82f24422eb,Mazodi claims that he went home to Morocco to get married but was unable to do so due to being injured in a car accident there.,Mazoudi claimed that he went along with the plan as planned.,en,English,2
6d63ae6397,Children would knock on their neighbors' doors and,Children could go to their neighbors' houses.,en,English,0
dd4f0d9f25,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,en,English,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,en,English,1
cad235551c,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,en,English,2
d8b3a4fb06,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",en,English,0
a7b0b9498c,"It's just the beginning!""",A great journey is about to begin!,en,English,1
1ec4761d9d,"I assure you, sir, that I was fully aware of everything.",Many details were hidden from me.,en,English,2
17c1f14619,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,en,English,1
